ordem,coluna,usada_no_projeto
1,NU_INSCRICAO,True
2,NU_ANO,True
3,TP_FAIXA_ETARIA,True
4,TP_SEXO,True
5,TP_ESTADO_CIVIL,False
6,TP_COR_RACA,True
7,TP_NACIONALIDADE,False
8,TP_ST_CONCLUSAO,True
9,TP_ANO_CONCLUIU,False
10,TP_ESCOLA,True
11,TP_ENSINO,True
12,IN_TREINEIRO,True
13,CO_MUNICIPIO_ESC,False
14,NO_MUNICIPIO_ESC,False
15,CO_UF_ESC,False
16,SG_UF_ESC,False
17,TP_DEPENDENCIA_ADM_ESC,False
18,TP_LOCALIZACAO_ESC,False
19,TP_SIT_FUNC_ESC,False
20,CO_MUNICIPIO_PROVA,False
21,NO_MUNICIPIO_PROVA,True
22,CO_UF_PROVA,False
23,SG_UF_PROVA,True
24,TP_PRESENCA_CN,True
25,TP_PRESENCA_CH,True
26,TP_PRESENCA_LC,True
27,TP_PRESENCA_MT,True
28,CO_PROVA_CN,False
29,CO_PROVA_CH,False
30,CO_PROVA_LC,False
31,CO_PROVA_MT,False
32,NU_NOTA_CN,True
33,NU_NOTA_CH,True
34,NU_NOTA_LC,True
35,NU_NOTA_MT,True
36,TX_RESPOSTAS_CN,False
37,TX_RESPOSTAS_CH,False
38,TX_RESPOSTAS_LC,False
39,TX_RESPOSTAS_MT,False
40,TP_LINGUA,False
41,TX_GABARITO_CN,False
42,TX_GABARITO_CH,False
43,TX_GABARITO_LC,False
44,TX_GABARITO_MT,False
45,TP_STATUS_REDACAO,False
46,NU_NOTA_COMP1,False
47,NU_NOTA_COMP2,False
48,NU_NOTA_COMP3,False
49,NU_NOTA_COMP4,False
50,NU_NOTA_COMP5,False
51,NU_NOTA_REDACAO,True
52,Q001,True
53,Q002,True
54,Q003,False
55,Q004,False
56,Q005,True
57,Q006,True
58,Q007,False
59,Q008,False
60,Q009,False
61,Q010,False
62,Q011,False
63,Q012,False
64,Q013,False
65,Q014,False
66,Q015,False
67,Q016,False
68,Q017,False
69,Q018,False
70,Q019,False
71,Q020,False
72,Q021,False
73,Q022,False
74,Q023,False
75,Q024,True
76,Q025,True
